CM Course,Type Key,State Key,Name,Descr,formatID,shortName
HIST250,,,Lecture Only,Courses with Lecture only,,LEC 
HIST255,,,Lecture Only,Courses with Lecture only,,LEC 
HIST255,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
HIST266,,,Lecture Only,Courses with Lecture only,,LEC 
HIST266,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
HIST269,,,Lecture Only,Courses with Lecture only,,LEC 
HIST269,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
HIST282,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
HIST282,,,Lecture Only,Courses with Lecture only,,LEC 
HIST284,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
HIST284,,,Lecture Only,Courses with Lecture only,,LEC 
HIST289,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
