CM Course,Type Key,State Key,Name,Descr,formatID,shortName
WMST444,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
WMST452,,,Lecture Only,Courses with Lecture only,,LEC 
WMST452,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
WMST453,,,Lecture Only,Courses with Lecture only,,LEC 
WMST453,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
WMST456,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
WMST456,,,Lecture Only,Courses with Lecture only,,LEC 
WMST471,,,Lecture Only,Courses with Lecture only,,LEC 
WMST471,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
WMST488,,,Lecture Only,Courses with Lecture only,,LEC 
WMST498,,,Lecture Only,Courses with Lecture only,,LEC 
WMST499,,,Lecture Only,Courses with Lecture only,,LEC 
WMST601,,,Lecture Only,Courses with Lecture only,,LEC 
WMST618,,,Lecture Only,Courses with Lecture only,,LEC 
WMST619,,,Lecture Only,Courses with Lecture only,,LEC 
WMST628,,,Lecture Only,Courses with Lecture only,,LEC 
WMST698,,,Lecture Only,Courses with Lecture only,,LEC 
WMST699,,,Lecture Only,Courses with Lecture only,,LEC 
WMST709,,,Lecture Only,Courses with Lecture only,,LEC 
WMST799,,,Lecture Only,Courses with Lecture only,,LEC 
WMST898,,,Lecture Only,Courses with Lecture only,,LEC 
WMST899,,,Lecture Only,Courses with Lecture only,,LEC 
